app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
suite,avisos-completed,dark,960x600,FAIL,0.74367,skimage,0.03464,0.87059,0.14104,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-completed-dark-960x600.png,qa/_captures_v8_fresh/suite-avisos-completed-dark-960x600.png,qa/_fidelity_fresh/suite-avisos-completed-dark-960x600-diff.png
suite,avisos-completed,light,960x600,FAIL,0.73073,skimage,0.04884,0.80392,0.35374,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-completed-light-960x600.png,qa/_captures_v8_fresh/suite-avisos-completed-light-960x600.png,qa/_fidelity_fresh/suite-avisos-completed-light-960x600-diff.png
suite,avisos-empty,dark,960x600,FAIL,0.88359,skimage,0.04197,0.83922,0.07576,False,"ssim<0.92,mad>0.035",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-empty-dark-960x600.png,qa/_captures_v8_fresh/suite-avisos-empty-dark-960x600.png,qa/_fidelity_fresh/suite-avisos-empty-dark-960x600-diff.png
suite,avisos-empty,light,960x600,FAIL,0.91934,skimage,0.0854,0.80392,0.865,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-empty-light-960x600.png,qa/_captures_v8_fresh/suite-avisos-empty-light-960x600.png,qa/_fidelity_fresh/suite-avisos-empty-light-960x600-diff.png
suite,avisos-filter-activos,dark,960x600,FAIL,0.79473,skimage,0.03443,0.83922,0.11182,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-filter-activos-dark-960x600.png,qa/_captures_v8_fresh/suite-avisos-filter-activos-dark-960x600.png,qa/_fidelity_fresh/suite-avisos-filter-activos-dark-960x600-diff.png
suite,avisos-filter-activos,light,960x600,FAIL,0.79115,skimage,0.05719,0.80392,0.46401,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-filter-activos-light-960x600.png,qa/_captures_v8_fresh/suite-avisos-filter-activos-light-960x600.png,qa/_fidelity_fresh/suite-avisos-filter-activos-light-960x600-diff.png
suite,avisos-search,dark,960x600,FAIL,0.88155,skimage,0.0357,0.83922,0.0713,False,"ssim<0.92,mad>0.035",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-search-dark-960x600.png,qa/_captures_v8_fresh/suite-avisos-search-dark-960x600.png,qa/_fidelity_fresh/suite-avisos-search-dark-960x600-diff.png
suite,avisos-search,light,960x600,FAIL,0.90417,skimage,0.07663,0.80392,0.7711,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-avisos-search-light-960x600.png,qa/_captures_v8_fresh/suite-avisos-search-light-960x600.png,qa/_fidelity_fresh/suite-avisos-search-light-960x600-diff.png
suite,dbt-library,dark,960x600,FAIL,0.65584,skimage,0.05522,0.9098,0.2184,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-dbt-library-dark-960x600.png,qa/_captures_v8_fresh/suite-dbt-library-dark-960x600.png,qa/_fidelity_fresh/suite-dbt-library-dark-960x600-diff.png
suite,dbt-library,light,960x600,FAIL,0.67703,skimage,0.06918,0.81176,0.48434,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-dbt-library-light-960x600.png,qa/_captures_v8_fresh/suite-dbt-library-light-960x600.png,qa/_fidelity_fresh/suite-dbt-library-light-960x600-diff.png
suite,dbt-now,dark,960x600,FAIL,0.76599,skimage,0.04572,0.92157,0.20612,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-dbt-now-dark-960x600.png,qa/_captures_v8_fresh/suite-dbt-now-dark-960x600.png,qa/_fidelity_fresh/suite-dbt-now-dark-960x600-diff.png
suite,dbt-now,light,960x600,FAIL,0.79122,skimage,0.06095,0.81176,0.52511,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-dbt-now-light-960x600.png,qa/_captures_v8_fresh/suite-dbt-now-light-960x600.png,qa/_fidelity_fresh/suite-dbt-now-light-960x600-diff.png
suite,dbt-practice-closure,dark,960x600,FAIL,0.78079,skimage,0.05505,0.90588,0.24188,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-dbt-practice-closure-dark-960x600.png,qa/_captures_v8_fresh/suite-dbt-practice-closure-dark-960x600.png,qa/_fidelity_fresh/suite-dbt-practice-closure-dark-960x600-diff.png
suite,dbt-practice-closure,light,960x600,FAIL,0.7492,skimage,0.22572,0.84314,0.87832,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-dbt-practice-closure-light-960x600.png,qa/_captures_v8_fresh/suite-dbt-practice-closure-light-960x600.png,qa/_fidelity_fresh/suite-dbt-practice-closure-light-960x600-diff.png
suite,dbt-practice-stop,dark,960x600,FAIL,0.7886,skimage,0.04915,0.90196,0.23822,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-dbt-practice-stop-dark-960x600.png,qa/_captures_v8_fresh/suite-dbt-practice-stop-dark-960x600.png,qa/_fidelity_fresh/suite-dbt-practice-stop-dark-960x600-diff.png
