sequence,theme,product,group,screen_id,screen_title_exact,state_id,state_label_exact,relative_path,capture_target,excluded,source_file,source_sha256,width_px,height_px,added_by_completion
31,light,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),ok,Éxito,light/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Éxito.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
32,light,Suite · Paciente,Acceso,onboarding,Onboarding,normal,Normal,light/Suite · Paciente/Acceso/Onboarding/Normal.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,669,
33,light,Suite · Paciente,Acceso,onboarding,Onboarding,error,Error,light/Suite · Paciente/Acceso/Onboarding/Error.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,686,
34,light,Suite · Paciente,Acceso,recuperar,Recuperar acceso,default,Recuperar acceso,light/Suite · Paciente/Acceso/Recuperar acceso/Recuperar acceso.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,686,
35,light,Hub · Clínico,Pacientes,pacientes,Pacientes,list,Lista activa,light/Hub · Clínico/Pacientes/Pacientes/Lista activa.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,574,
36,light,Hub · Clínico,Pacientes,pacientes,Pacientes,empty,Vacío,light/Hub · Clínico/Pacientes/Pacientes/Vacío.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,569,
37,light,Hub · Clínico,Pacientes,detalle,Detalle de paciente,default,Detalle de paciente,light/Hub · Clínico/Pacientes/Detalle de paciente/Detalle de paciente.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
38,light,Hub · Clínico,Configuración,textos,Textos globales,default,Textos globales,light/Hub · Clínico/Configuración/Textos globales/Textos globales.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,622,
39,dark,Suite · Paciente,Inicio,home,Home,score,Con puntaje,dark/Suite · Paciente/Inicio/Home/Con puntaje.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,617,
40,dark,Suite · Paciente,Inicio,home,Home,noscore,Sin puntaje,dark/Suite · Paciente/Inicio/Home/Sin puntaje.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,595,
41,dark,Suite · Paciente,Bienestar,animo,Termómetro emocional,default,Termómetro emocional,dark/Suite · Paciente/Bienestar/Termómetro emocional/Termómetro emocional.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
42,dark,Suite · Paciente,Bienestar,respiracion,Guía de respiración,idle,En reposo,dark/Suite · Paciente/Bienestar/Guía de respiración/En reposo.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,599,
43,dark,Suite · Paciente,Bienestar,respiracion,Guía de respiración,running,En curso,dark/Suite · Paciente/Bienestar/Guía de respiración/En curso.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,599,
44,dark,Suite · Paciente,Bienestar,respiracion,Guía de respiración,paused,Pausado,dark/Suite · Paciente/Bienestar/Guía de respiración/Pausado.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,599,
45,dark,Suite · Paciente,Hábitos,timer,Temporizador,idle,En reposo,dark/Suite · Paciente/Hábitos/Temporizador/En reposo.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
46,dark,Suite · Paciente,Hábitos,timer,Temporizador,running,En curso,dark/Suite · Paciente/Hábitos/Temporizador/En curso.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
