app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
suite,avisos-empty,light,960x600,FAIL,0.91196,skimage,0.08706,0.80392,0.87882,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-empty-light-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-empty-light-960x600.png,
suite,avisos-filter-activos,dark,960x600,FAIL,0.78771,skimage,0.03779,0.83922,0.12279,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-filter-activos-dark-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-filter-activos-dark-960x600.png,
suite,avisos-filter-activos,light,960x600,FAIL,0.78231,skimage,0.05977,0.80392,0.48612,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-filter-activos-light-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-filter-activos-light-960x600.png,
suite,avisos-search,dark,960x600,FAIL,0.87137,skimage,0.03946,0.83922,0.08153,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-search-dark-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-search-dark-960x600.png,
suite,avisos-search,light,960x600,FAIL,0.89414,skimage,0.07995,0.80392,0.7883,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-avisos-search-light-960x600.png,qa\nm_capturas_actualizadas\suite-avisos-search-light-960x600.png,
suite,dbt-library,dark,960x600,FAIL,0.62401,skimage,0.06603,0.93333,0.25545,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-dbt-library-dark-960x600.png,qa\nm_capturas_actualizadas\suite-dbt-library-dark-960x600.png,
suite,dbt-library,light,960x600,FAIL,0.64745,skimage,0.08002,0.80784,0.52927,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-dbt-library-light-960x600.png,qa\nm_capturas_actualizadas\suite-dbt-library-light-960x600.png,
suite,dbt-now,dark,960x600,FAIL,0.7444,skimage,0.05302,0.9451,0.23246,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-dbt-now-dark-960x600.png,qa\nm_capturas_actualizadas\suite-dbt-now-dark-960x600.png,
suite,dbt-now,light,960x600,FAIL,0.77727,skimage,0.06841,0.82353,0.54066,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-dbt-now-light-960x600.png,qa\nm_capturas_actualizadas\suite-dbt-now-light-960x600.png,
suite,dbt-practice-closure,dark,960x600,FAIL,0.76843,skimage,0.05749,0.90588,0.24517,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-dbt-practice-closure-dark-960x600.png,qa\nm_capturas_actualizadas\suite-dbt-practice-closure-dark-960x600.png,
