app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,target_file,actual_file,diff_file
suite,onboarding-error,dark,520x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-onboarding-error-dark-520x600.png,qa\_mockup_targets\suite-onboarding-error-dark-520x600.png,
suite,onboarding-error,light,520x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-onboarding-error-light-520x600.png,qa\_mockup_targets\suite-onboarding-error-light-520x600.png,
suite,recuperar-acceso,dark,520x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-recuperar-acceso-dark-520x600.png,qa\_mockup_targets\suite-recuperar-acceso-dark-520x600.png,
suite,recuperar-acceso,light,520x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-recuperar-acceso-light-520x600.png,qa\_mockup_targets\suite-recuperar-acceso-light-520x600.png,
suite,registro,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-dark-960x600.png,qa\_mockup_targets\suite-registro-dark-960x600.png,
suite,registro,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-light-960x600.png,qa\_mockup_targets\suite-registro-light-960x600.png,
suite,registro-step1-emotion,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-step1-emotion-dark-960x600.png,qa\_mockup_targets\suite-registro-step1-emotion-dark-960x600.png,
suite,registro-step1-emotion,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-step1-emotion-light-960x600.png,qa\_mockup_targets\suite-registro-step1-emotion-light-960x600.png,
suite,registro-step1-emotion-otro,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-step1-emotion-otro-dark-960x600.png,qa\_mockup_targets\suite-registro-step1-emotion-otro-dark-960x600.png,
suite,registro-step1-emotion-otro,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-step1-emotion-otro-light-960x600.png,qa\_mockup_targets\suite-registro-step1-emotion-otro-light-960x600.png,
suite,registro-step2-distortions,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-step2-distortions-dark-960x600.png,qa\_mockup_targets\suite-registro-step2-distortions-dark-960x600.png,
suite,registro-step2-distortions,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-step2-distortions-light-960x600.png,qa\_mockup_targets\suite-registro-step2-distortions-light-960x600.png,
suite,registro-step3-filled,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-step3-filled-dark-960x600.png,qa\_mockup_targets\suite-registro-step3-filled-dark-960x600.png,
suite,registro-step3-filled,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-step3-filled-light-960x600.png,qa\_mockup_targets\suite-registro-step3-filled-light-960x600.png,
suite,registro-success,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-success-dark-960x600.png,qa\_mockup_targets\suite-registro-success-dark-960x600.png,
suite,registro-success,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-registro-success-light-960x600.png,qa\_mockup_targets\suite-registro-success-light-960x600.png,
suite,respiracion,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-dark-960x600.png,qa\_mockup_targets\suite-respiracion-dark-960x600.png,
suite,respiracion,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-light-960x600.png,qa\_mockup_targets\suite-respiracion-light-960x600.png,
suite,respiracion-paused,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-paused-dark-960x600.png,qa\_mockup_targets\suite-respiracion-paused-dark-960x600.png,
suite,respiracion-paused,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-paused-light-960x600.png,qa\_mockup_targets\suite-respiracion-paused-light-960x600.png,
suite,respiracion-preset-10min,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-preset-10min-dark-960x600.png,qa\_mockup_targets\suite-respiracion-preset-10min-dark-960x600.png,
suite,respiracion-preset-10min,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-preset-10min-light-960x600.png,qa\_mockup_targets\suite-respiracion-preset-10min-light-960x600.png,
suite,respiracion-preset-3min,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-preset-3min-dark-960x600.png,qa\_mockup_targets\suite-respiracion-preset-3min-dark-960x600.png,
suite,respiracion-preset-3min,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-preset-3min-light-960x600.png,qa\_mockup_targets\suite-respiracion-preset-3min-light-960x600.png,
suite,respiracion-running,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-running-dark-960x600.png,qa\_mockup_targets\suite-respiracion-running-dark-960x600.png,
suite,respiracion-running,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-respiracion-running-light-960x600.png,qa\_mockup_targets\suite-respiracion-running-light-960x600.png,
suite,rutina,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-rutina-dark-960x600.png,qa\_mockup_targets\suite-rutina-dark-960x600.png,
suite,rutina,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-rutina-light-960x600.png,qa\_mockup_targets\suite-rutina-light-960x600.png,
suite,rutina-add-task,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-rutina-add-task-dark-960x600.png,qa\_mockup_targets\suite-rutina-add-task-dark-960x600.png,
suite,rutina-add-task,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-rutina-add-task-light-960x600.png,qa\_mockup_targets\suite-rutina-add-task-light-960x600.png,
suite,rutina-all-completed,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-rutina-all-completed-dark-960x600.png,qa\_mockup_targets\suite-rutina-all-completed-dark-960x600.png,
suite,rutina-all-completed,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-rutina-all-completed-light-960x600.png,qa\_mockup_targets\suite-rutina-all-completed-light-960x600.png,
suite,rutina-empty,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-rutina-empty-dark-960x600.png,qa\_mockup_targets\suite-rutina-empty-dark-960x600.png,
